"","protein_uniprot","ensembl","gene_name"
"23507","Q6QEF8","ENSG00000167549","CORO6"
"23508","O15357","ENSG00000165458","INPPL1"
"23509","Q96RE7","ENSG00000160877","NACC1"
"23511","P49418","ENSG00000078053","AMPH"
"23513","Q9BZJ8","ENSG00000156097","GPR61"
"23517","Q9H4A9","ENSG00000167261","DPEP2"
"23518","P07451","ENSG00000164879","CA3"
"23519","Q5VT40","ENSG00000188859","FAM78B"
"23520","Q9UBK8","ENSG00000124275","MTRR"
"23523","P26012","ENSG00000105855","ITGB8"
"23524","Q8TCT7","ENSG00000005206","SPPL2B"
"23527","P11172","ENSG00000114491","UMPS"
"23528","Q9BTT6","ENSG00000137269","LRRC1"
"23529","P63313","ENSG00000034510","TMSB10"
"23530","Q9BZY9","ENSG00000225130","TRIM31"
"23533","Q8NHW4","ENSG00000275313","CCL4L2"
"23535","P0DME0","ENSG00000230667","SETSIP"
"23536","Q5JR59","ENSG00000132938","MTUS2"
"23537","Q9C0K1","ENSG00000138821","SLC39A8"
"23538","O95848","ENSG00000183828","NUDT14"
"23539","Q0WX57","ENSG00000235780","USP17L27"
"23540","P14635","ENSG00000134057","CCNB1"
"23543","Q30KP9","ENSG00000205883","DEFB135"
"23545","Q9ULV1","ENSG00000174804","FZD4"
"23546","O14787","ENSG00000105576","TNPO2"
"23547","Q8TDN7","ENSG00000167769","ACER1"
"23552","Q4QY38","ENSG00000205882","DEFB134"
"23553","Q96QC0","ENSG00000230995","PPP1R10"
"23554","Q6IPW1","ENSG00000180425","C11orf71"
"23556","P59538","ENSG00000263097","TAS2R31"
"23557","O95470","ENSG00000166224","SGPL1"
"23558","Q5HYJ3","ENSG00000077458","FAM76B"
"23561","Q8NAP3","ENSG00000177311","ZBTB38"
"23563","Q5H9L2","ENSG00000204065","TCEAL5"
"23565","Q9P2N5","ENSG00000091009","RBM27"
"23566","Q13907","ENSG00000067064","IDI1"
"23568","Q96T55","ENSG00000095981","KCNK16"
"23570","Q8TD08","ENSG00000181085","MAPK15"
"23575","Q9BUU2","ENSG00000067365","METTL22"
"23576","P08637","ENSG00000203747","FCGR3A"
"23577","O94986","ENSG00000103995","CEP152"
"23580","Q15714","ENSG00000102804","TSC22D1"
"23581","Q9BY43","ENSG00000254505","CHMP4A"
"23584","O15405","ENSG00000103460","TOX3"
"23585","Q9UBC0","ENSG00000169856","ONECUT1"
"23589","Q9H633","ENSG00000239865","RPP21"
"23591","Q12770","ENSG00000114650","SCAP"
"23592","Q8N162","ENSG00000181767","OR8H2"
"23593","Q8NDX1","ENSG00000125637","PSD4"
"23594","Q6K0P9","ENSG00000163564","PYHIN1"
"23595","Q16517","ENSG00000053438","NNAT"
"23598","Q6UXY1","ENSG00000128298","BAIAP2L2"
"23600","Q9NQT6","ENSG00000106328","FSCN3"
"23601","Q8TBF8","ENSG00000157470","FAM81A"
"23603","O76014","ENSG00000108417","KRT37"
"23604","Q9BXB4","ENSG00000144909","OSBPL11"
"23607","Q6PXP3","ENSG00000197241","SLC2A7"
"23608","Q5SV17","ENSG00000205090","TMEM240"
"23609","Q3L8U1","ENSG00000177200","CHD9"
"23610","Q96RB7","ENSG00000255223","OR5M11"
"23611","P05538","ENSG00000228813","HLA-DQB2"
"23616","P60014","ENSG00000221859","KRTAP10-10"
"23617","Q8NCW0","ENSG00000131650","KREMEN2"
"23618","P46095","ENSG00000146360","GPR6"
"23620","P51648","ENSG00000072210","ALDH3A2"
"23621","P52272","ENSG00000099783","HNRNPM"
"23623","O14618","ENSG00000173992","CCS"
"23624","O43612","ENSG00000161610","HCRT"
"23626","P34896","ENSG00000176974","SHMT1"
"23627","Q9UBV7","ENSG00000027847","B4GALT7"
"23629","Q16281","ENSG00000144191","CNGA3"
"23634","Q2QL34","ENSG00000275543","MPV17L"
"23635","P01213","ENSG00000101327","PDYN"
"23638","Q9P260","ENSG00000134444","KIAA1468"
"23640","Q8IYY4","ENSG00000158163","DZIP1L"
"23643","P10071","ENSG00000106571","GLI3"
"23645","Q99547","ENSG00000135698","MPHOSPH6"
"23646","Q92621","ENSG00000155561","NUP205"
"23647","P30305","ENSG00000101224","CDC25B"
"23650","O95866","ENSG00000204420","C6orf25"
"23651","Q8IV77","ENSG00000132259","CNGA4"
"23652","Q9BYR2","ENSG00000198271","KRTAP4-5"
"23653","Q8N8W4","ENSG00000180316","PNPLA1"
"23654","P21941","ENSG00000162510","MATN1"
"23655","Q9ULY5","ENSG00000166523","CLEC4E"
"23656","Q9GIY3","ENSG00000228080","HLA-DRB1"
"23657","Q95IE3","ENSG00000228080","HLA-DRB1"
"23658","Q30167","ENSG00000228080","HLA-DRB1"
"23659","P13760","ENSG00000228080","HLA-DRB1"
"23660","Q9ULZ1","ENSG00000171388","APLN"
"23662","Q7RTU3","ENSG00000177468","OLIG3"
"23663","Q9Y4G2","ENSG00000276358","PLEKHM1"
"23669","Q86V59","ENSG00000182013","PNMAL1"
"23670","P07910","ENSG00000092199","HNRNPC"
"23671","Q06323","ENSG00000092010","PSME1"
"23673","Q8NGV5","ENSG00000179055","OR13D1"
"23675","Q6ZUU3","ENSG00000206262","FOXL2NB"
"23677","Q5VZ72","ENSG00000205442","IZUMO3"
"23679","Q9HAF1","ENSG00000163875","MEAF6"
"23682","P17480","ENSG00000108312","UBTF"
"23684","Q9NQV7","ENSG00000164256","PRDM9"
"23687","Q8ND71","ENSG00000171115","GIMAP8"
"23688","Q8N2H9","ENSG00000174516","PELI3"
"23689","Q6PH81","ENSG00000155330","C16orf87"
"23690","Q8IWI9","ENSG00000174197","MGA"
"23692","Q8IUR7","ENSG00000114098","ARMC8"
"23694","P56181","ENSG00000160194","NDUFV3"
"23697","P27540","ENSG00000143437","ARNT"
"23698","Q9NQM4","ENSG00000080572","PIH1D3"
"23699","Q9H3S3","ENSG00000166682","TMPRSS5"
"23700","Q4G0Z9","ENSG00000178460","MCMDC2"
"23701","Q5T230","ENSG00000171794","UTF1"
"23703","P04440","ENSG00000237710","HLA-DPB1"
"23704","O14727","ENSG00000120868","APAF1"
"23706","Q9HAY2","ENSG00000177383","MAGEF1"
"23707","Q5TEU4","ENSG00000101247","NDUFAF5"
"23711","Q9NYU1","ENSG00000102595","UGGT2"
"23712","Q6NYC8","ENSG00000225060","PPP1R18"
"23713","Q16849","ENSG00000054356","PTPRN"
"23714","P43630","ENSG00000275626","KIR3DL2"
"23717","P40425","ENSG00000225987","PBX2"
"23718","Q7L2Z9","ENSG00000031691","CENPQ"
"23719","P32238","ENSG00000163394","CCKAR"
"23722","Q13520","ENSG00000086159","AQP6"
"23724","Q5GH76","ENSG00000206579","XKR4"
"23725","P09234","ENSG00000124562","SNRPC"
"23727","Q01524","ENSG00000164822","DEFA6"
"23728","Q8TEY7","ENSG00000077254","USP33"
"23733","Q9H209","ENSG00000170782","OR10A4"
"23736","O75678","ENSG00000128253","RFPL2"
"23737","P31260","ENSG00000253293","HOXA10"
"23738","Q04609","ENSG00000086205","FOLH1"
"23739","Q9BYE9","ENSG00000074276","CDHR2"
"23740","O15392","ENSG00000089685","BIRC5"
"23743","Q9NPB0","ENSG00000112167","SAYSD1"
"23748","P35354","ENSG00000073756","PTGS2"
"23751","Q6ZNB7","ENSG00000187546","AGMO"
"23753","Q8NFL0","ENSG00000156966","B3GNT7"
"23754","Q92576","ENSG00000118482","PHF3"
"23757","O95264","ENSG00000149305","HTR3B"
"23758","P81408","ENSG00000160767","FAM189B"
"23761","O15061","ENSG00000182253","SYNM"
"23763","Q9NZS2","ENSG00000150045","KLRF1"
"23764","O43414","ENSG00000117419","ERI3"
"23766","Q96S44","ENSG00000172315","TP53RK"
"23767","Q8IU81","ENSG00000170604","IRF2BP1"
"23769","Q11203","ENSG00000126091","ST3GAL3"
"23771","Q8TDJ6","ENSG00000104093","DMXL2"
"23772","Q8IYD8","ENSG00000187790","FANCM"
"23774","P08758","ENSG00000164111","ANXA5"
"23775","O43521","ENSG00000153094","BCL2L11"
"23778","Q13901","ENSG00000197223","C1D"
"23779","Q8IUA0","ENSG00000158901","WFDC8"
"23780","Q8IYK8","ENSG00000139890","REM2"
"23782","Q9H977","ENSG00000005448","WDR54"
"23783","P24071","ENSG00000276985","FCAR"
"23784","A0PG75","ENSG00000231213","PLSCR5"
"23785","Q5SQI0","ENSG00000234549","ATAT1"
"23787","Q6IPX1","ENSG00000278299","TBC1D3C"
"23788","Q07002","ENSG00000117266","CDK18"
"23789","Q15034","ENSG00000138641","HERC3"
"23790","Q92903","ENSG00000163624","CDS1"
"23792","Q14249","ENSG00000167136","ENDOG"
"23793","P14859","ENSG00000143190","POU2F1"
"23795","Q6UXH1","ENSG00000184164","CRELD2"
"23796","A6NJI1","ENSG00000173237","C11orf86"
"23797","Q8NCL9","ENSG00000198768","APCDD1L"
"23799","B2RN74","ENSG00000257115","OR11H12"
"23800","Q9P0U3","ENSG00000079387","SENP1"
"23801","Q460N3","ENSG00000173200","PARP15"
"23803","P11487","ENSG00000186895","FGF3"
"23806","Q92186","ENSG00000140557","ST8SIA2"
"23807","Q6IE38","ENSG00000196800","SPINK14"
"23808","O95159","ENSG00000162300","ZFPL1"
"23809","Q9NYW5","ENSG00000127364","TAS2R4"
"23811","P62805","ENSG00000278637","HIST1H4A"
"23812","Q96CM4","ENSG00000171773","NXNL1"
"23813","Q9H0H3","ENSG00000183655","KLHL25"
"23814","P46976","ENSG00000163754","GYG1"
"23817","P68431","ENSG00000274267","HIST1H3B"
"23821","Q16655","ENSG00000120215","MLANA"
"23822","Q9UHI5","ENSG00000092068","SLC7A8"
"23823","F8WBI6","ENSG00000232653","GOLGA8N"
"23825","Q969H0","ENSG00000109670","FBXW7"
"23826","Q5T8I3","ENSG00000162636","FAM102B"
"23827","Q6P3S6","ENSG00000037637","FBXO42"
"23828","Q15061","ENSG00000163811","WDR43"
"23829","Q499Z3","ENSG00000171790","SLFNL1"
"23833","P0C1S8","ENSG00000214102","WEE2"
"23836","O00629","ENSG00000186432","KPNA4"
"23838","Q8NH54","ENSG00000184478","OR56A3"
"23839","Q9BPV8","ENSG00000181631","P2RY13"
"23840","Q14565","ENSG00000100206","DMC1"
"23842","O95936","ENSG00000163508","EOMES"
"23843","Q6F5E7","ENSG00000206483","TXNRD3NB"
"23844","Q5JX69","ENSG00000213714","FAM209B"
"23845","Q8TCY0","ENSG00000273590","SMIM11B"
"23847","Q96KK4","ENSG00000230505","OR10C1"
"23848","P22607","ENSG00000068078","FGFR3"
"23849","Q8NGH8","ENSG00000183389","OR56A4"
"23853","Q96T92","ENSG00000168348","INSM2"
"23855","P40126","ENSG00000080166","DCT"
"23856","O60383","ENSG00000164404","GDF9"
"23857","O95257","ENSG00000130222","GADD45G"
"23859","O15127","ENSG00000140497","SCAMP2"
"23863","Q7Z699","ENSG00000166068","SPRED1"
"23864","P56703","ENSG00000277641","WNT3"
"23865","Q96S94","ENSG00000221978","CCNL2"
"23866","Q8N3R3","ENSG00000179152","TCAIM"
"23867","P81408","ENSG00000262666","FAM189B"
"23868","O00590","ENSG00000144648","ACKR2"
"23872","Q15042","ENSG00000115839","RAB3GAP1"
"23873","P35227","ENSG00000278644","PCGF2"
"23875","Q9BX10","ENSG00000172432","GTPBP2"
"23877","Q8NG06","ENSG00000162722","TRIM58"
"23878","Q96N21","ENSG00000167302","TEPSIN"
"23879","Q8NDZ2","ENSG00000170085","SIMC1"
"23882","Q12849","ENSG00000132463","GRSF1"
"23883","P62333","ENSG00000100519","PSMC6"
"23885","Q53T59","ENSG00000118960","HS1BP3"
"23886","Q86Z20","ENSG00000277868","CCDC125"
"23889","Q53RD9","ENSG00000144152","FBLN7"
"23891","O14905","ENSG00000276799","WNT9B"
"23892","Q9C0D0","ENSG00000112137","PHACTR1"
"23893","Q14257","ENSG00000117906","RCN2"
"23894","Q8N9U0","ENSG00000276776","TC2N"
"23895","Q9Y5X2","ENSG00000106266","SNX8"
"23898","P59541","ENSG00000256188","TAS2R30"
"23900","Q6ZSA7","ENSG00000183908","LRRC55"
"23901","B2RV13","ENSG00000231256","C17orf105"
"23903","Q9UM22","ENSG00000086289","EPDR1"
"23905","Q8TD07","ENSG00000164520","RAET1E"
"23907","Q5TCZ1","ENSG00000107957","SH3PXD2A"
"23913","O94811","ENSG00000171368","TPPP"
"23915","Q5DT21","ENSG00000204909","SPINK9"
"23917","P49758","ENSG00000182732","RGS6"
"23918","Q96HJ5","ENSG00000149516","MS4A3"
"23920","Q9BYW1","ENSG00000133460","SLC2A11"
"23922","Q9H1A7","ENSG00000168255","POLR2J3"
"23924","Q8WZ84","ENSG00000196341","OR8D1"
"23926","H3BUK9","ENSG00000230031","POTEB2"
"23928","Q9GZM6","ENSG00000279116","OR8D2"
"23929","P0C8F1","ENSG00000237353","PATE4"
"23934","Q12899","ENSG00000231641","TRIM26"
"23935","Q9NPC1","ENSG00000213906","LTB4R2"
"23936","Q2TBC4","ENSG00000124593","PRICKLE4"
"23938","Q02080","ENSG00000213999","MEF2B"
"23940","Q9Y235","ENSG00000124701","APOBEC2"
"23941","Q9BS40","ENSG00000079257","LXN"
"23943","Q8IZ52","ENSG00000123989","CHPF"
"23944","A5PLK6","ENSG00000121446","RGSL1"
"23946","Q4VC05","ENSG00000110987","BCL7A"
"23947","P14902","ENSG00000131203","IDO1"
"23948","Q86VW0","ENSG00000187231","SESTD1"
"23949","P22413","ENSG00000197594","ENPP1"
"23952","P15822","ENSG00000095951","HIVEP1"
"23954","P83881","ENSG00000241343","RPL36A"
"23955","A3KMH1","ENSG00000102763","VWA8"
"23956","Q8NGI0","ENSG00000180988","OR52N2"
"23957","Q6UXA7","ENSG00000204542","C6orf15"
"23960","O75063","ENSG00000116199","FAM20B"
"23962","Q96DZ5","ENSG00000105270","CLIP3"
"23965","O43196","ENSG00000230293","MSH5"
"23966","Q8NC06","ENSG00000181513","ACBD4"
"23967","P12018","ENSG00000169575","VPREB1"
"23968","Q96PS1","ENSG00000163705","FANCD2OS"
"23969","O14512","ENSG00000274229","SOCS7"
"23970","Q9HC96","ENSG00000142330","CAPN10"
"23973","Q8NEV4","ENSG00000095777","MYO3A"
"23975","Q9NP56","ENSG00000171408","PDE7B"
"23976","Q66K89","ENSG00000167967","E4F1"
"23981","Q6P988","ENSG00000185269","NOTUM"
"23984","Q8N6C8","ENSG00000275841","LILRA3"
"23985","O15496","ENSG00000276870","PLA2G10"
"23986","Q01860","ENSG00000237582","POU5F1"
"23987","Q92504","ENSG00000226614","SLC39A7"
"23992","P50452","ENSG00000166401","SERPINB8"
"23995","Q66K66","ENSG00000188760","TMEM198"
"23996","A8K7I4","ENSG00000016490","CLCA1"
"23999","P49915","ENSG00000163655","GMPS"
"24001","Q9P2R6","ENSG00000142599","RERE"
"24002","Q16385","ENSG00000241476","SSX2"
"24003","Q7RTW8","ENSG00000155719","OTOA"
"24004","Q96NW7","ENSG00000033122","LRRC7"
"24006","Q9Y219","ENSG00000184916","JAG2"
"24008","Q14626","ENSG00000137070","IL11RA"
"24010","Q9NY93","ENSG00000136271","DDX56"
"24011","Q9BSU3","ENSG00000156269","NAA11"
"24012","P20718","ENSG00000100450","GZMH"
"24013","Q8IVV7","ENSG00000141034","GID4"
"24014","Q9Y4C5","ENSG00000175040","CHST2"
"24018","P05089","ENSG00000118520","ARG1"
"24019","Q16576","ENSG00000102054","RBBP7"
"24020","O60671","ENSG00000113456","RAD1"
"24023","P53007","ENSG00000100075","SLC25A1"
"24024","Q9NQ38","ENSG00000133710","SPINK5"
"24025","Q14439","ENSG00000166073","GPR176"
"24027","Q8N3F8","ENSG00000100139","MICALL1"
"24028","Q9H0R6","ENSG00000130348","QRSL1"
"24032","Q6IFN5","ENSG00000237521","OR7E24"
"24033","Q86TP1","ENSG00000143363","PRUNE1"
"24034","P60660","ENSG00000092841","MYL6"
"24035","P12956","ENSG00000196419","XRCC6"
"24039","Q9BZM1","ENSG00000123739","PLA2G12A"
"24042","Q6UXK5","ENSG00000175928","LRRN1"
"24043","Q8TE57","ENSG00000145536","ADAMTS16"
"24044","Q6P2M8","ENSG00000130822","PNCK"
"24046","Q8IZN7","ENSG00000277530","DEFB107B"
"24047","P01008","ENSG00000117601","SERPINC1"
"24049","Q9BRX5","ENSG00000181938","GINS3"
"24050","P01350","ENSG00000184502","GAST"
"24051","Q5XG87","ENSG00000112941","PAPD7"
"24052","P05108","ENSG00000140459","CYP11A1"
"24053","P09622","ENSG00000091140","DLD"
"24054","P43630","ENSG00000275083","KIR3DL2"
"24056","P00751","ENSG00000241253","CFB"
"24057","Q14008","ENSG00000175216","CKAP5"
"24058","O14829","ENSG00000086717","PPEF1"
"24059","Q9H2S5","ENSG00000206500","RNF39"
"24065","Q8NC56","ENSG00000161904","LEMD2"
"24067","Q8NGI3","ENSG00000181023","OR56B1"
"24068","Q6PCB8","ENSG00000170571","EMB"
"24070","P0DL12","ENSG00000268182","SMIM17"
"24071","P07947","ENSG00000176105","YES1"
"24072","P78563","ENSG00000197381","ADARB1"
"24074","Q8IVW6","ENSG00000179361","ARID3B"
"24076","Q9BSJ1","ENSG00000124900","TRIM51"
"24077","P63316","ENSG00000114854","TNNC1"
"24081","Q9GIY3","ENSG00000206240","HLA-DRB1"
"24082","Q5Y7A7","ENSG00000206240","HLA-DRB1"
"24083","Q95IE3","ENSG00000206240","HLA-DRB1"
"24084","P20039","ENSG00000206240","HLA-DRB1"
"24085","Q30134","ENSG00000206240","HLA-DRB1"
"24086","P01912","ENSG00000206240","HLA-DRB1"
"24087","A8MTL9","ENSG00000221887","HMSD"
"24088","O14874","ENSG00000103507","BCKDK"
"24089","Q9Y2P0","ENSG00000127903","ZNF835"
"24090","P0C7T4","ENSG00000221887","HMSD"
"24091","O14817","ENSG00000214063","TSPAN4"
"24092","Q9BRH9","ENSG00000198169","ZNF251"
"24098","P34910","ENSG00000185862","EVI2B"
"24101","P54727","ENSG00000119318","RAD23B"
"24103","O00337","ENSG00000156222","SLC28A1"
"24104","Q5JTY5","ENSG00000196873","CBWD3"
"24106","O43511","ENSG00000091137","SLC26A4"
"24107","Q16816","ENSG00000164776","PHKG1"
"24110","Q8NFR9","ENSG00000163701","IL17RE"
"24111","Q92529","ENSG00000148082","SHC3"
"24113","Q96DC8","ENSG00000134463","ECHDC3"
"24116","Q6PI98","ENSG00000153391","INO80C"
"24117","P0C7X1","ENSG00000274226","TBC1D3H"
"24120","Q86TY3","ENSG00000139971","C14orf37"
"24121","Q8WY07","ENSG00000165349","SLC7A3"
"24123","Q8IZN3","ENSG00000175048","ZDHHC14"
"24124","O60927","ENSG00000206501","PPP1R11"
"24125","Q8N1B3","ENSG00000262919","FAM58A"
"24130","O95711","ENSG00000112799","LY86"
"24131","Q8WWH5","ENSG00000165832","TRUB1"
"24132","Q5TB30","ENSG00000024526","DEPDC1"
"24133","Q8IVF5","ENSG00000146426","TIAM2"
"24134","Q15398","ENSG00000126787","DLGAP5"
"24135","Q5VV43","ENSG00000137261","KIAA0319"
"24136","O15516","ENSG00000134852","CLOCK"
"24137","Q96L15","ENSG00000167311","ART5"
"24138","P0DJD7","ENSG00000229183","PGA4"
"24140","O95445","ENSG00000231974","APOM"
"24144","Q15758","ENSG00000105281","SLC1A5"
"24148","Q5GJ75","ENSG00000183578","TNFAIP8L3"
"24155","Q7RTR2","ENSG00000167984","NLRC3"
"24157","Q5TAA0","ENSG00000006555","TTC22"
"24158","Q96AE4","ENSG00000162613","FUBP1"
"24160","Q9NZN5","ENSG00000196914","ARHGEF12"
"24162","A0MZ66","ENSG00000187164","SHTN1"
"24164","Q13618","ENSG00000036257","CUL3"
"24165","O60234","ENSG00000130755","GMFG"
"24171","P19801","ENSG00000002726","AOC1"
"24175","Q8NBA8","ENSG00000169570","DTWD2"
"24176","A8MQ27","ENSG00000214357","NEURL1B"
"24177","P0CAP1","ENSG00000263155","MYZAP"
"24178","Q8IZS7","ENSG00000184293","CLECL1"
"24179","P62191","ENSG00000100764","PSMC1"
"24180","P43631","ENSG00000276258","KIR2DS2"
"24182","Q5T0W9","ENSG00000168143","FAM83B"
"24184","Q8IZS8","ENSG00000157445","CACNA2D3"
"24185","Q9Y258","ENSG00000006606","CCL26"
"24186","Q12996","ENSG00000176102","CSTF3"
"24188","P50749","ENSG00000101265","RASSF2"
"24190","P28328","ENSG00000164751","PEX2"
"24191","Q5SZK8","ENSG00000150893","FREM2"
"24195","Q9BYQ2","ENSG00000241595","KRTAP9-4"
"24197","O95455","ENSG00000088451","TGDS"
"24200","Q8WXI8","ENSG00000166527","CLEC4D"
"24201","Q92794","ENSG00000083168","KAT6A"
"24206","P48735","ENSG00000182054","IDH2"
"24207","Q9P2J9","ENSG00000172840","PDP2"
"24209","Q709C8","ENSG00000129003","VPS13C"
"24210","Q8N957","ENSG00000153930","ANKFN1"
"24211","P55042","ENSG00000166592","RRAD"
"24212","Q8IXS6","ENSG00000243444","PALM2"
"24214","Q9Y6H3","ENSG00000262145","ATP23"
"24217","O75956","ENSG00000167797","CDK2AP2"
"24218","P43630","ENSG00000278474","KIR3DL2"
"24220","Q9P2L0","ENSG00000118965","WDR35"
"24221","Q9UNG2","ENSG00000120337","TNFSF18"
"24223","Q9NPI7","ENSG00000172086","KRCC1"
"24224","P12821","ENSG00000159640","ACE"
"24225","A6NED2","ENSG00000166965","RCCD1"
"24230","Q9HBY0","ENSG00000074771","NOX3"
"24231","P60153","ENSG00000188655","RNASE9"
"24234","P07205","ENSG00000170950","PGK2"
"24235","O76000","ENSG00000226832","OR2B3"
"24236","Q96LT9","ENSG00000185946","RNPC3"
"24237","Q9UFE4","ENSG00000145075","CCDC39"
"24238","O96033","ENSG00000164172","MOCS2"
"24239","P35544","ENSG00000149806","FAU"
"24240","P62861","ENSG00000149806","FAU"
"24242","Q96FL8","ENSG00000142494","SLC47A1"
"24244","O60336","ENSG00000137802","MAPKBP1"
"24245","P35712","ENSG00000110693","SOX6"
"24247","P04818","ENSG00000176890","TYMS"
"24248","Q719H9","ENSG00000134504","KCTD1"
"24249","A8MVA2","ENSG00000212659","KRTAP9-6"
"24251","P79522","ENSG00000233564","PRR3"
"24253","Q5JPI9","ENSG00000203791","METTL10"
"24254","Q9NNZ6","ENSG00000178257","PRM3"
"24256","Q5T6J7","ENSG00000148057","IDNK"
"24257","Q9P0I2","ENSG00000125037","EMC3"
"24258","O14593","ENSG00000064490","RFXANK"
"24259","P68871","ENSG00000244734","HBB"
"24260","Q6ZSB9","ENSG00000168826","ZBTB49"
"24263","O95256","ENSG00000115607","IL18RAP"
"24264","Q6UW49","ENSG00000258484","SPESP1"
"24266","Q9Y4X5","ENSG00000166233","ARIH1"
"24267","O96007","ENSG00000164172","MOCS2"
"24269","P0C1Z6","ENSG00000276504","TFPT"
"24270","P30550","ENSG00000126010","GRPR"
"24273","Q9BU64","ENSG00000138092","CENPO"
"24274","Q7Z6L1","ENSG00000205356","TECPR1"
"24275","P40617","ENSG00000122644","ARL4A"
"24276","Q96QT4","ENSG00000092439","TRPM7"
"24277","P60981","ENSG00000125868","DSTN"
"24279","Q14149","ENSG00000159256","MORC3"
"24281","P51797","ENSG00000011021","CLCN6"
"24282","O76009","ENSG00000006059","KRT33A"
"24283","P22674","ENSG00000152669","CCNO"
"24286","Q9Y328","ENSG00000170091","HMP19"
"24290","Q96KQ7","ENSG00000227333","EHMT2"
"24293","P48634","ENSG00000204469","PRRC2A"
"24294","A2RUC4","ENSG00000162971","TYW5"
"24296","O14638","ENSG00000154269","ENPP3"
"24298","Q9NXS2","ENSG00000011478","QPCTL"
"24299","P36551","ENSG00000080819","CPOX"
"24300","Q99946","ENSG00000235956","PRRT1"
"24303","Q8WXB1","ENSG00000144401","METTL21A"
"24304","Q8N0X4","ENSG00000125246","CLYBL"
"24305","Q8IZQ1","ENSG00000163625","WDFY3"
"24306","O43293","ENSG00000167657","DAPK3"
"24307","P33151","ENSG00000179776","CDH5"
"24309","Q9H147","ENSG00000101457","DNTTIP1"
"24312","Q96H96","ENSG00000173085","COQ2"
"24315","P31415","ENSG00000143318","CASQ1"
"24317","Q9Y4W6","ENSG00000141385","AFG3L2"
"24320","Q6VB84","ENSG00000187559","FOXD4L3"
"24323","P35408","ENSG00000171522","PTGER4"
"24324","O94777","ENSG00000136908","DPM2"
"24326","Q8NEW0","ENSG00000162695","SLC30A7"
"24327","Q01860","ENSG00000206454","POU5F1"
"24328","Q8NI38","ENSG00000167604","NFKBID"
"24331","P56945","ENSG00000050820","BCAR1"
"24333","Q6NT16","ENSG00000146409","SLC18B1"
"24334","Q96NE9","ENSG00000139926","FRMD6"
"24335","P39687","ENSG00000140350","ANP32A"
"24337","Q8NGR3","ENSG00000165204","OR1K1"
"24342","Q02223","ENSG00000048462","TNFRSF17"
"24343","Q5TAX3","ENSG00000134744","ZCCHC11"
"24344","P16473","ENSG00000165409","TSHR"
"24345","Q96KC8","ENSG00000136770","DNAJC1"
"24347","Q8IVU3","ENSG00000138642","HERC6"
"24349","Q96KQ7","ENSG00000236759","EHMT2"
"24352","P01591","ENSG00000132465","JCHAIN"
"24354","Q9NZ42","ENSG00000205155","PSENEN"
"24355","Q8NGA1","ENSG00000170929","OR1M1"
"24356","Q93008","ENSG00000124486","USP9X"
"24357","Q12874","ENSG00000183431","SF3A3"
"24361","A6NNF4","ENSG00000213967","ZNF726"
"24363","Q8NH55","ENSG00000277932","OR52E5"
"24365","P78369","ENSG00000134873","CLDN10"
"24367","Q86UW1","ENSG00000163959","SLC51A"
"24368","O00422","ENSG00000150459","SAP18"
"24369","Q494R4","ENSG00000248712","CCDC153"
"24370","Q7Z7K2","ENSG00000181444","ZNF467"
"24373","P01876","ENSG00000282633","IGHA1"
"24376","A6NFT4","ENSG00000186710","CFAP73"
"24378","Q8TBF2","ENSG00000275125","FAM213B"
"24379","P46379","ENSG00000234651","BAG6"
"24380","Q8WTR4","ENSG00000158555","GDPD5"
"24381","Q6V0L0","ENSG00000187553","CYP26C1"
"24383","P60763","ENSG00000169750","RAC3"
"24384","Q9BXF6","ENSG00000135631","RAB11FIP5"
"24385","P20073","ENSG00000138279","ANXA7"
"24386","Q8N104","ENSG00000186579","DEFB106A"
"24387","P12755","ENSG00000157933","SKI"
"24390","Q8NB12","ENSG00000115593","SMYD1"
"24392","Q9UHE8","ENSG00000164647","STEAP1"
"24395","Q9UMR5","ENSG00000227600","PPT2"
"24396","Q96EK9","ENSG00000198841","KTI12"
"24399","P78527","ENSG00000253729","PRKDC"
"24400","Q5UIP0","ENSG00000080345","RIF1"
"24402","Q6ZS17","ENSG00000039523","FAM65A"
"24403","Q9Y6F9","ENSG00000115596","WNT6"
"24405","O14525","ENSG00000152092","ASTN1"
"24406","O43281","ENSG00000100842","EFS"
"24407","O95467","ENSG00000087460","GNAS"
"24408","P01242","ENSG00000136487","GH2"
"24411","Q02413","ENSG00000134760","DSG1"
"24412","P06340","ENSG00000206292","HLA-DOA"
"24417","Q8WWI1","ENSG00000136153","LMO7"
"24418","P24522","ENSG00000116717","GADD45A"
"24419","Q9Y376","ENSG00000135932","CAB39"
"24421","P47900","ENSG00000169860","P2RY1"
"24422","O15245","ENSG00000175003","SLC22A1"
"24426","P0CG20","ENSG00000161992","PRR35"
"24427","Q504T8","ENSG00000167470","MIDN"
"24428","A6NC98","ENSG00000168071","CCDC88B"
"24429","Q8N6W0","ENSG00000161082","CELF5"
"24432","P59942","ENSG00000231975","MCCD1"
"24433","Q8IYF3","ENSG00000120498","TEX11"
"24434","Q8NH79","ENSG00000221931","OR6X1"
"24437","Q02978","ENSG00000108528","SLC25A11"
"24438","Q9H019","ENSG00000117640","MTFR1L"
"24442","P50750","ENSG00000136807","CDK9"
"24443","Q9NX36","ENSG00000177692","DNAJC28"
"24444","Q6P6B7","ENSG00000134461","ANKRD16"
