protein_uniprot,ensembl,gene_name
P41594,ENSG00000168959,GRM5
Q9C0I3,ENSG00000184305,CCSER1
Q53H12,ENSG00000006530,AGK
Q9BQ39,ENSG00000107625,DDX50
Q6ZUB1,ENSG00000177992,SPATA31E1
P51825,ENSG00000172493,AFF1
Q9C0I1,ENSG00000150712,MTMR12
Q9UHQ1,ENSG00000141562,NARF
Q9BZB8,ENSG00000214575,CPEB1
Q9GZV3,ENSG00000115665,SLC5A7
Q02641,ENSG00000067191,CACNB1
Q8TD16,ENSG00000185963,BICD2
Q9BXX0,ENSG00000132205,EMILIN2
O43186,ENSG00000105392,CRX
Q495M9,ENSG00000182040,USH1G
Q7L5A3,ENSG00000005238,FAM214B
Q8IZ57,ENSG00000152954,NRSN1
Q96F24,ENSG00000148572,NRBF2
P04004,ENSG00000109072,VTN
Q9UL16,ENSG00000213085,CFAP45
P0DJI8,ENSG00000173432,SAA1
Q96D71,ENSG00000135597,REPS1
Q92844,ENSG00000136560,TANK
P00367,ENSG00000148672,GLUD1
Q8N1V2,ENSG00000166596,CFAP52
Q9H1K4,ENSG00000182902,SLC25A18
P26640,ENSG00000204394,VARS
Q6DCA0,ENSG00000144233,AMMECR1L
Q5HY92,ENSG00000182263,FIGN
O60784,ENSG00000100284,TOM1
Q96FI4,ENSG00000140398,NEIL1
Q9BU76,ENSG00000143793,C1orf35
P01111,ENSG00000213281,NRAS
Q12982,ENSG00000140299,BNIP2
O43660,ENSG00000171566,PLRG1
P21860,ENSG00000065361,ERBB3
Q8N6M3,ENSG00000197296,FITM2
Q9H094,ENSG00000142794,NBPF3
Q96QT6,ENSG00000109118,PHF12
Q9H2W2,ENSG00000185155,MIXL1
P54750,ENSG00000115252,PDE1A
P02144,ENSG00000198125,MB
Q9UMS4,ENSG00000110107,PRPF19
Q9UNP9,ENSG00000084072,PPIE
Q96SD1,ENSG00000152457,DCLRE1C
Q5SGD2,ENSG00000163590,PPM1L
Q2M3C6,ENSG00000169758,TMEM266
O15520,ENSG00000070193,FGF10
P78539,ENSG00000101955,SRPX
Q9H6D8,ENSG00000115226,FNDC4
O76099,ENSG00000127530,OR7C1
O43933,ENSG00000127980,PEX1
Q03518,ENSG00000226173,TAP1
Q16795,ENSG00000139180,NDUFA9
O43424,ENSG00000152208,GRID2
Q4G1C9,ENSG00000180481,GLIPR1L2
Q96RY5,ENSG00000007545,CRAMP1
Q9HCE0,ENSG00000152223,EPG5
Q6RFH5,ENSG00000133316,WDR74
Q6JVE9,ENSG00000204001,LCN8
Q8IWB4,ENSG00000276040,SPATA31A7
Q8NGD3,ENSG00000176281,OR4K5
Q96HF1,ENSG00000145423,SFRP2
Q9H8G1,ENSG00000118620,ZNF430
Q8N474,ENSG00000104332,SFRP1
Q56A73,ENSG00000186767,SPIN4
P51665,ENSG00000103035,PSMD7
Q8NGC3,ENSG00000255582,OR10G2
Q8N1K5,ENSG00000172673,THEMIS
Q6P996,ENSG00000275498,PDXDC1
Q8NDN9,ENSG00000136144,RCBTB1
Q8NHB1,ENSG00000185372,OR2V1
P17081,ENSG00000119729,RHOQ
O95866,ENSG00000206396,C6orf25
Q7Z4K8,ENSG00000163462,TRIM46
Q9Y6K0,ENSG00000134255,CEPT1
Q96PE6,ENSG00000141946,ZIM3
Q8WYP5,ENSG00000153207,AHCTF1
Q01995,ENSG00000149591,TAGLN
P48552,ENSG00000180530,NRIP1
A6NFY4,ENSG00000189362,NEMP2
Q1HG43,ENSG00000140254,DUOXA1
Q5T2D2,ENSG00000112195,TREML2
P01825,ENSG00000282691,IGHV4-59
O15304,ENSG00000184990,SIVA1
Q5TH74,ENSG00000001460,STPG1
Q96RD6,ENSG00000073150,PANX2
P23759,ENSG00000009709,PAX7
Q6ZN17,ENSG00000187772,LIN28B
P62068,ENSG00000109189,USP46
Q96IT1,ENSG00000162714,ZNF496
Q9BVW5,ENSG00000075131,TIPIN
Q9UJC5,ENSG00000198478,SH3BGRL2
Q9P2N6,ENSG00000114982,KANSL3
P25208,ENSG00000120837,NFYB
Q6UW60,ENSG00000115257,PCSK4
Q08431,ENSG00000140545,MFGE8
Q8N3F0,ENSG00000180354,MTURN
P04732,ENSG00000169715,MT1E
Q9BYQ6,ENSG00000212721,KRTAP4-11
Q7Z3Y8,ENSG00000171446,KRT27
P14373,ENSG00000234495,TRIM27
P47756,ENSG00000077549,CAPZB
P13797,ENSG00000102024,PLS3
Q02846,ENSG00000132518,GUCY2D
Q5SVJ3,ENSG00000173728,C1orf100
Q7KZ85,ENSG00000109111,SUPT6H
O95633,ENSG00000070404,FSTL3
A9YTQ3,ENSG00000063438,AHRR
Q8IZR5,ENSG00000183723,CMTM4
O00560,ENSG00000137575,SDCBP
O95866,ENSG00000237459,C6orf25
P62316,ENSG00000125743,SNRPD2
P0CG31,ENSG00000249459,ZNF286B
Q5JRC9,ENSG00000185448,FAM47A
Q93075,ENSG00000157014,TATDN2
Q569G3,ENSG00000185056,C5orf47
Q9BY44,ENSG00000144895,EIF2A
Q9UBS0,ENSG00000175634,RPS6KB2
Q93074,ENSG00000184634,MED12
Q9BYX2,ENSG00000095383,TBC1D2
A0A087WXS9,ENSG00000274933,TBC1D3I
Q8NGY9,ENSG00000279263,OR2L8
Q9H693,ENSG00000260456,C16orf95
Q8N2F6,ENSG00000170632,ARMC10
A1L443,ENSG00000130950,NUTM2F
Q9NS66,ENSG00000184194,GPR173
P56192,ENSG00000166986,MARS
Q8IY45,ENSG00000151743,AMN1
Q8WU68,ENSG00000161265,U2AF1L4
Q6ZMT1,ENSG00000141750,STAC2
Q96C03,ENSG00000177427,MIEF2
Q8WW14,ENSG00000165863,C10orf82
O75534,ENSG00000009307,CSDE1
Q9BQG0,ENSG00000132382,MYBBP1A
Q99755,ENSG00000143398,PIP5K1A
Q9H237,ENSG00000102312,PORCN
Q9ULV8,ENSG00000142273,CBLC
Q9Y5F6,ENSG00000240764,PCDHGC5
Q5JUK9,ENSG00000204279,PAGE3
P36969,ENSG00000167468,GPX4
Q8NBK3,ENSG00000144455,SUMF1
Q9BV86,ENSG00000148335,NTMT1
Q9H4H8,ENSG00000101447,FAM83D
Q14DG7,ENSG00000139364,TMEM132B
Q9Y5G7,ENSG00000253731,PCDHGA6
Q92858,ENSG00000172238,ATOH1
Q96J02,ENSG00000078747,ITCH
Q8TCT0,ENSG00000100422,CERK
Q96P64,ENSG00000188234,AGAP4
Q96RU7,ENSG00000101255,TRIB3
Q86V35,ENSG00000100314,CABP7
Q9UQR0,ENSG00000102098,SCML2
P05187,ENSG00000163283,ALPP
Q9UL33,ENSG00000167515,TRAPPC2L
O14709,ENSG00000186448,ZNF197
P08246,ENSG00000277571,ELANE
P47893,ENSG00000221882,OR3A2
P78406,ENSG00000101146,RAE1
Q9H2F3,ENSG00000099377,HSD3B7
P00439,ENSG00000171759,PAH
Q9H446,ENSG00000111832,RWDD1
Q5SR56,ENSG00000148110,MFSD14B
Q8WUU4,ENSG00000170684,ZNF296
Q96RQ9,ENSG00000104951,IL4I1
Q9ULZ2,ENSG00000035720,STAP1
P31939,ENSG00000138363,ATIC
Q96C12,ENSG00000140691,ARMC5
Q5T5C0,ENSG00000164506,STXBP5
Q9P278,ENSG00000052795,FNIP2
O00443,ENSG00000011405,PIK3C2A
Q9P1Y5,ENSG00000076826,CAMSAP3
Q6PID8,ENSG00000128607,KLHDC10
Q8WUN7,ENSG00000168246,UBTD2
P67936,ENSG00000167460,TPM4
P10072,ENSG00000181666,HKR1
Q7Z404,ENSG00000278363,TMC4
Q9NRD1,ENSG00000116663,FBXO6
Q8NH21,ENSG00000186092,OR4F5
Q9H2A3,ENSG00000178403,NEUROG2
Q8N1E2,ENSG00000144214,LYG1
Q6ZN54,ENSG00000140995,DEF8
Q9H568,ENSG00000117148,ACTL8
P04053,ENSG00000107447,DNTT
Q5VZE5,ENSG00000135040,NAA35
Q16873,ENSG00000213316,LTC4S
Q8NHY2,ENSG00000143207,RFWD2
P49773,ENSG00000169567,HINT1
Q8TDN1,ENSG00000168418,KCNG4
P24158,ENSG00000196415,PRTN3
Q96CG3,ENSG00000145365,TIFA
Q9HD15,ENSG00000213523,SRA1
Q6UB28,ENSG00000172878,METAP1D
Q7Z3Z4,ENSG00000134627,PIWIL4
Q9UK22,ENSG00000116661,FBXO2
P43628,ENSG00000243772,KIR2DL3
Q9BRF8,ENSG00000103381,CPPED1
P35663,ENSG00000183035,CYLC1
Q8WX77,ENSG00000137142,IGFBPL1
Q9C0I9,ENSG00000148814,LRRC27
P35557,ENSG00000106633,GCK
Q96A19,ENSG00000135736,CCDC102A
P78509,ENSG00000189056,RELN
P56696,ENSG00000117013,KCNQ4
P46059,ENSG00000088386,SLC15A1
P0DMU3,ENSG00000237847,FAM231A
P0DMU4,ENSG00000237847,FAM231A
Q96HY7,ENSG00000181192,DHTKD1
Q7L4S7,ENSG00000198960,ARMCX6
Q9UQ52,ENSG00000134115,CNTN6
Q8NH00,ENSG00000196944,OR2T4
Q8NGW1,ENSG00000178586,OR6B3
P58173,ENSG00000124657,OR2B6
P15502,ENSG00000049540,ELN
Q8IY50,ENSG00000183780,SLC35F3
Q13330,ENSG00000182979,MTA1
P48357,ENSG00000116678,LEPR
Q5VU92,ENSG00000198889,DCAF12L1
Q9GZU3,ENSG00000121775,TMEM39B
P01100,ENSG00000170345,FOS
Q9Y2L6,ENSG00000114541,FRMD4B
P31946,ENSG00000166913,YWHAB
P46379,ENSG00000227761,BAG6
Q13131,ENSG00000132356,PRKAA1
Q9BQ15,ENSG00000139579,NABP2
Q5VY80,ENSG00000155918,RAET1L
A8MYJ7,ENSG00000275571,TTC34
Q9Y3D3,ENSG00000182180,MRPS16
Q8TE77,ENSG00000172830,SSH3
Q8NFH8,ENSG00000169891,REPS2
P15036,ENSG00000157557,ETS2
Q68DI1,ENSG00000152443,ZNF776
P60673,ENSG00000196570,PFN3
Q9H0S4,ENSG00000213782,DDX47
O95897,ENSG00000105088,OLFM2
P23378,ENSG00000178445,GLDC
Q9Y286,ENSG00000168995,SIGLEC7
Q8IYS5,ENSG00000276982,OSCAR
Q8IVW1,ENSG00000275748,ARL17B
O76002,ENSG00000196231,OR2J2
Q9UI47,ENSG00000183230,CTNNA3
Q9NY43,ENSG00000143032,BARHL2
O75494,ENSG00000188529,SRSF10
Q8IZ83,ENSG00000161618,ALDH16A1
O75182,ENSG00000127511,SIN3B
P18859,ENSG00000154723,ATP5J
P55259,ENSG00000169347,GP2
Q9HBV1,ENSG00000132429,POPDC3
Q8N431,ENSG00000146090,RASGEF1C
P60903,ENSG00000197747,S100A10
P49736,ENSG00000073111,MCM2
A4QMS7,ENSG00000215217,C5orf49
Q96NB1,ENSG00000133393,FOPNL
Q16774,ENSG00000143774,GUK1
Q86UN6,ENSG00000186471,AKAP14
P50542,ENSG00000139197,PEX5
Q9NNX6,ENSG00000090659,CD209
P62987,ENSG00000221983,UBA52
Q7Z6G8,ENSG00000185046,ANKS1B
O60749,ENSG00000205302,SNX2
Q460N5,ENSG00000173193,PARP14
Q685J3,ENSG00000169876,MUC17
Q17RS7,ENSG00000178295,GEN1
Q6L8H4,ENSG00000205869,KRTAP5-1
Q9H0E9,ENSG00000112983,BRD8
A4FU49,ENSG00000214193,SH3D21
Q9Y6D9,ENSG00000002822,MAD1L1
Q9BXM0,ENSG00000105227,PRX
Q9UHC3,ENSG00000213199,ASIC3
Q92888,ENSG00000076928,ARHGEF1
Q9HD43,ENSG00000080031,PTPRH
O75643,ENSG00000144028,SNRNP200
P09341,ENSG00000163739,CXCL1
A6NNL5,ENSG00000189227,C15orf61
P0C1Z6,ENSG00000275086,TFPT
Q969Z0,ENSG00000136270,TBRG4
Q9Y463,ENSG00000105204,DYRK1B
Q96EE4,ENSG00000169193,CCDC126
O00767,ENSG00000099194,SCD
Q8N4X5,ENSG00000169129,AFAP1L2
Q9BUZ4,ENSG00000076604,TRAF4
Q02108,ENSG00000164116,GUCY1A3
O00522,ENSG00000001631,KRIT1
Q9H1N7,ENSG00000124786,SLC35B3
Q9BYS8,ENSG00000163827,LRRC2
A6NNP5,ENSG00000242715,CCDC169
B6SEH8,ENSG00000269526,ERVV-1
O60811,ENSG00000120952,PRAMEF2
Q86XQ3,ENSG00000152705,CATSPER3
Q15599,ENSG00000065054,SLC9A3R2
Q9BX82,ENSG00000196263,ZNF471
Q9BXR0,ENSG00000213339,QTRT1
O94903,ENSG00000147471,PROSC
Q9NYW4,ENSG00000127366,TAS2R5
P13236,ENSG00000277943,CCL4
Q8WWM9,ENSG00000161544,CYGB
Q9BUN1,ENSG00000143443,C1orf56
Q9NWB7,ENSG00000114446,IFT57
Q9BVG8,ENSG00000140859,KIFC3
Q96IU2,ENSG00000132846,ZBED3
Q9BQI3,ENSG00000086232,EIF2AK1
Q9H6V9,ENSG00000118961,LDAH
Q99942,ENSG00000227277,RNF5
O95562,ENSG00000213064,SFT2D2
A6NKN8,ENSG00000248485,PCP4L1
P49116,ENSG00000177463,NR2C2
O75175,ENSG00000274941,CNOT3
Q92902,ENSG00000107521,HPS1
Q14410,ENSG00000196475,GK2
A8MVW5,ENSG00000188175,HEPACAM2
Q0ZGT2,ENSG00000162614,NEXN
P13861,ENSG00000114302,PRKAR2A
Q13683,ENSG00000135424,ITGA7
Q13015,ENSG00000213190,MLLT11
Q07326,ENSG00000151665,PIGF
Q86W67,ENSG00000186453,FAM228A
P83916,ENSG00000108468,CBX1
Q96JI7,ENSG00000104133,SPG11
A2RRD8,ENSG00000182986,ZNF320
Q32M84,ENSG00000138152,BTBD16
Q9Y6A9,ENSG00000114902,SPCS1
Q9BTL4,ENSG00000160888,IER2
Q8NG35,ENSG00000186599,DEFB105B
Q99958,ENSG00000176692,FOXC2
Q5XG99,ENSG00000183060,LYSMD4
P35443,ENSG00000113296,THBS4
P52429,ENSG00000153933,DGKE
Q12952,ENSG00000176678,FOXL1
Q96N23,ENSG00000188596,CFAP54
Q9H1X3,ENSG00000059769,DNAJC25
P55316,ENSG00000176165,FOXG1
P12524,ENSG00000116990,MYCL
Q8N0W7,ENSG00000176988,FMR1NB
Q15569,ENSG00000107140,TESK1
Q8NG75,ENSG00000262784,OR5T1
Q01538,ENSG00000196132,MYT1
Q8NGP2,ENSG00000262796,OR8J1
Q8NCD3,ENSG00000123485,HJURP
Q5JQF7,ENSG00000237313,LINC01556
O43252,ENSG00000138801,PAPSS1
Q9HCI6,ENSG00000168116,KIAA1586
A0A087WTH5,ENSG00000276289,KCNE1B
P55212,ENSG00000138794,CASP6
O60667,ENSG00000162894,FCMR
Q5MJ68,ENSG00000204710,SPDYC
Q12857,ENSG00000162599,NFIA
P17568,ENSG00000099795,NDUFB7
P54652,ENSG00000126803,HSPA2
P16298,ENSG00000107758,PPP3CB
Q6GTX8,ENSG00000276053,LAIR1
O75445,ENSG00000042781,USH2A
Q96HS1,ENSG00000247077,PGAM5
Q6XYQ8,ENSG00000110975,SYT10
Q9Y5Z7,ENSG00000111727,HCFC2
Q9HCY8,ENSG00000189334,S100A14
Q14CZ0,ENSG00000182831,C16orf72
P59665,ENSG00000240247,DEFA1B
Q9Y6Q9,ENSG00000124151,NCOA3
Q7L1W4,ENSG00000171492,LRRC8D
P12111,ENSG00000163359,COL6A3
Q92698,ENSG00000085999,RAD54L
O75636,ENSG00000142748,FCN3
A2AJT9,ENSG00000173681,CXorf23
Q8N5I2,ENSG00000197070,ARRDC1
P57078,ENSG00000183421,RIPK4
P48060,ENSG00000139278,GLIPR1
Q9NZV5,ENSG00000162430,SELENON
O60741,ENSG00000164588,HCN1
Q9GZV9,ENSG00000118972,FGF23
Q8IZ96,ENSG00000089505,CMTM1
P30048,ENSG00000165672,PRDX3
Q58EX7,ENSG00000196155,PLEKHG4
P0C7P0,ENSG00000277972,CISD3
P49286,ENSG00000134640,MTNR1B
Q9BSJ2,ENSG00000130640,TUBGCP2
P23471,ENSG00000106278,PTPRZ1
Q96PQ0,ENSG00000184985,SORCS2
Q7Z6I5,ENSG00000186451,SPATA12
Q5H9U9,ENSG00000181381,DDX60L
P43632,ENSG00000275353,KIR2DS4
Q9H173,ENSG00000120725,SIL1
Q9GZK4,ENSG00000206471,OR2H1
Q03169,ENSG00000185215,TNFAIP2
P22466,ENSG00000069482,GAL
Q5TAP6,ENSG00000253797,UTP14C
I6L899,ENSG00000186399,GOLGA8R
Q6ZMT9,ENSG00000197057,DTHD1
P61956,ENSG00000188612,SUMO2
Q6QAJ8,ENSG00000187824,TMEM220
Q9NYQ7,ENSG00000008300,CELSR3
P58753,ENSG00000150455,TIRAP
Q96BD8,ENSG00000154839,SKA1
Q2TAA5,ENSG00000253710,ALG11
P27169,ENSG00000005421,PON1
Q92565,ENSG00000136237,RAPGEF5
Q9BQS2,ENSG00000204176,SYT15
P13611,ENSG00000038427,VCAN
P0CG38,ENSG00000196834,POTEI
P0C264,ENSG00000231274,SBK3
Q5SWW7,ENSG00000222047,C10orf55
Q9UQ72,ENSG00000243130,PSG11
O95167,ENSG00000170906,NDUFA3
Q9NXH3,ENSG00000166143,PPP1R14D
Q9P2N4,ENSG00000163638,ADAMTS9
Q13609,ENSG00000163687,DNASE1L3
P48029,ENSG00000130821,SLC6A8
Q8N5W8,ENSG00000213185,FAM24B
Q9BV47,ENSG00000133878,DUSP26
P08183,ENSG00000085563,ABCB1
P37088,ENSG00000111319,SCNN1A
Q13838,ENSG00000230624,DDX39B
Q13489,ENSG00000023445,BIRC3
Q96FC7,ENSG00000165443,PHYHIPL
Q4LE39,ENSG00000054267,ARID4B
P42285,ENSG00000039123,SKIV2L2
Q9NRC1,ENSG00000004866,ST7
P55899,ENSG00000104870,FCGRT
Q9UKR3,ENSG00000167759,KLK13
O60637,ENSG00000140391,TSPAN3
Q9HCJ3,ENSG00000162437,RAVER2
Q8WWZ7,ENSG00000154265,ABCA5
Q9BTY7,ENSG00000235173,HGH1
Q9UK99,ENSG00000110429,FBXO3
P58743,ENSG00000170615,SLC26A5
Q8TB24,ENSG00000100599,RIN3
Q9UG01,ENSG00000138002,IFT172
Q66LE6,ENSG00000175470,PPP2R2D
Q5QP82,ENSG00000122741,DCAF10
Q9HB96,ENSG00000112039,FANCE
Q13572,ENSG00000100605,ITPK1
Q8N436,ENSG00000121898,CPXM2
Q9ULX3,ENSG00000141101,NOB1
Q15652,ENSG00000171988,JMJD1C
Q9BTX7,ENSG00000124120,TTPAL
Q86VM9,ENSG00000158545,ZC3H18
C9JPN9,ENSG00000227551,USP17L12
Q15080,ENSG00000100365,NCF4
Q8NDX9,ENSG00000244672,LY6G5B
O15460,ENSG00000072682,P4HA2
O75381,ENSG00000142655,PEX14
O15165,ENSG00000168675,LDLRAD4
P02452,ENSG00000108821,COL1A1
Q8NBT3,ENSG00000167619,TMEM145
P41271,ENSG00000158747,NBL1
Q8NE71,ENSG00000206490,ABCF1
O43164,ENSG00000198961,PJA2
Q7Z5G4,ENSG00000147533,GOLGA7
P10600,ENSG00000119699,TGFB3
O14668,ENSG00000130962,PRRG1
O60906,ENSG00000135587,SMPD2
O94952,ENSG00000135108,FBXO21
Q96HU1,ENSG00000100359,SGSM3
Q5TIE3,ENSG00000158816,VWA5B1
O60437,ENSG00000118898,PPL
O60810,ENSG00000243073,PRAMEF4
Q9H0R5,ENSG00000117226,GBP3
P07992,ENSG00000012061,ERCC1
Q07075,ENSG00000138792,ENPEP
C9JLJ4,ENSG00000232399,USP17L13
P46781,ENSG00000274950,RPS9
P15382,ENSG00000180509,KCNE1
P82912,ENSG00000181991,MRPS11
Q6ZRQ5,ENSG00000146263,MMS22L
Q9BSV6,ENSG00000170892,TSEN34
P51805,ENSG00000130827,PLXNA3
Q8NH85,ENSG00000279961,OR5R1
Q5JQC4,ENSG00000237957,CT47A5
P06729,ENSG00000116824,CD2
Q29980,ENSG00000238289,MICB
Q9BPX7,ENSG00000136197,C7orf25
Q8TF45,ENSG00000196724,ZNF418
Q6P1N9,ENSG00000147687,TATDN1
Q9BT76,ENSG00000276184,UPK3B
P13727,ENSG00000186652,PRG2
A6NLC5,ENSG00000187068,C3orf70
Q8TDF6,ENSG00000171777,RASGRP4
Q9H8L6,ENSG00000173269,MMRN2
Q9BVL2,ENSG00000139496,NUP58
O75038,ENSG00000149527,PLCH2
Q9UPR3,ENSG00000198952,SMG5
Q96M61,ENSG00000176774,MAGEB18
Q9BRU9,ENSG00000147679,UTP23
P48736,ENSG00000105851,PIK3CG
Q8NEX9,ENSG00000170426,SDR9C7
Q8NHL6,ENSG00000277807,LILRB1
Q8N6I1,ENSG00000176396,EID2
Q14674,ENSG00000135476,ESPL1
O75962,ENSG00000038382,TRIO
Q06643,ENSG00000236237,LTB
Q01064,ENSG00000123360,PDE1B
P0CJ72,ENSG00000249860,MTRNR2L5
O15498,ENSG00000106636,YKT6
Q8NI29,ENSG00000161243,FBXO27
P09327,ENSG00000127831,VIL1
Q8TED0,ENSG00000164338,UTP15
Q99767,ENSG00000276495,APBA2
Q2M3X9,ENSG00000251192,ZNF674
Q6PIF6,ENSG00000169994,MYO7B
Q9UBS5,ENSG00000204681,GABBR1
Q9Y5Q5,ENSG00000145244,CORIN
Q5T619,ENSG00000179930,ZNF648
P50151,ENSG00000242616,GNG10
Q6ZNQ3,ENSG00000214954,LRRC69
Q6UWS5,ENSG00000232838,PET117
Q92879,ENSG00000149187,CELF1
Q9NP62,ENSG00000137270,GCM1
O95427,ENSG00000197563,PIGN
Q6PJ61,ENSG00000177051,FBXO46
Q9H156,ENSG00000185985,SLITRK2
Q5T0J7,ENSG00000240021,TEX35
Q02487,ENSG00000134755,DSC2
Q68DN1,ENSG00000221843,C2orf16
O75179,ENSG00000132466,ANKRD17
Q8N743,ENSG00000274639,KIR3DL3
P17035,ENSG00000198538,ZNF28
Q8IWE2,ENSG00000197712,FAM114A1
Q8WTR8,ENSG00000142233,NTN5
Q9HCN4,ENSG00000198522,GPN1
P48556,ENSG00000099341,PSMD8
P53805,ENSG00000159200,RCAN1
O77932,ENSG00000206346,DXO
O15266,ENSG00000185960,SHOX
Q86YL5,ENSG00000180190,TDRP
Q96EA4,ENSG00000040275,SPDL1
O00453,ENSG00000223465,LST1
Q01973,ENSG00000185483,ROR1
Q9BRD0,ENSG00000137656,BUD13
Q719I0,ENSG00000173209,AHSA2
O15523,ENSG00000067048,DDX3Y
Q10586,ENSG00000105516,DBP
B4DX44,ENSG00000234444,ZNF736
Q03518,ENSG00000230705,TAP1
Q8NGX2,ENSG00000177151,OR2T35
Q7Z3D6,ENSG00000133943,C14orf159
Q04864,ENSG00000162924,REL
P35555,ENSG00000166147,FBN1
Q09013,ENSG00000104936,DMPK
Q9UBT2,ENSG00000126261,UBA2
Q86YS6,ENSG00000172780,RAB43
Q8N104,ENSG00000187082,DEFB106B
A1A5B4,ENSG00000185101,ANO9
Q86XW9,ENSG00000181322,NME9
Q9NXU5,ENSG00000185305,ARL15
Q15942,ENSG00000159840,ZYX
Q9BYR5,ENSG00000244537,KRTAP4-2
P09104,ENSG00000111674,ENO2
Q96T25,ENSG00000139800,ZIC5
Q8TBX8,ENSG00000166908,PIP4K2C
Q8IV03,ENSG00000153714,LURAP1L
O60412,ENSG00000127529,OR7C2
Q8WWZ4,ENSG00000154263,ABCA10
Q6IEY1,ENSG00000230178,OR4F3
Q2LD37,ENSG00000138688,KIAA1109
Q5M9N0,ENSG00000163749,CCDC158
Q9Y289,ENSG00000138074,SLC5A6
Q14517,ENSG00000083857,FAT1
P23610,ENSG00000274791,F8A2
P19484,ENSG00000112561,TFEB
P10635,ENSG00000100197,CYP2D6
Q8TAV4,ENSG00000133115,STOML3
Q96NT0,ENSG00000136710,CCDC115
Q86SF2,ENSG00000109586,GALNT7
Q9HCM9,ENSG00000206495,TRIM39
Q8NHL6,ENSG00000274669,LILRB1
O60242,ENSG00000135298,ADGRB3
Q15116,ENSG00000188389,PDCD1
P23975,ENSG00000103546,SLC6A2
O00757,ENSG00000130957,FBP2
Q9NV66,ENSG00000198874,TYW1
Q6P4E1,ENSG00000166734,CASC4
Q9Y5K5,ENSG00000116750,UCHL5
P62166,ENSG00000107130,NCS1
Q86UY8,ENSG00000111696,NT5DC3
O96002,ENSG00000221870,TMEM257
Q5TC12,ENSG00000123472,ATPAF1
A4D250,ENSG00000204960,BLACE
Q9NS69,ENSG00000100216,TOMM22
Q9UK59,ENSG00000138231,DBR1
Q9Y345,ENSG00000165970,SLC6A5
Q96J84,ENSG00000183853,KIRREL
Q9C056,ENSG00000148826,NKX6-2
Q9H3P2,ENSG00000185049,NELFA
Q8N4C8,ENSG00000141503,MINK1
Q6NXR0,ENSG00000124449,IRGC
Q6ZTR5,ENSG00000165164,CFAP47
Q92637,ENSG00000198019,FCGR1B
A6NKK0,ENSG00000231192,OR5H1
Q8IYJ3,ENSG00000142765,SYTL1
Q7L775,ENSG00000178567,EPM2AIP1
Q3SY84,ENSG00000139648,KRT71
Q6WRI0,ENSG00000152580,IGSF10
Q9BYG4,ENSG00000178184,PARD6G
Q8NFH4,ENSG00000075188,NUP37
Q63HQ2,ENSG00000164318,EGFLAM
Q4G0J3,ENSG00000174720,LARP7
Q14833,ENSG00000124493,GRM4
P52757,ENSG00000106069,CHN2
O60674,ENSG00000096968,JAK2
Q9Y6R6,ENSG00000128000,ZNF780B
Q86WR0,ENSG00000147419,CCDC25
O95870,ENSG00000206403,ABHD16A
Q9NRM7,ENSG00000150457,LATS2
Q8IWT3,ENSG00000112659,CUL9
P35914,ENSG00000117305,HMGCL
Q96QG7,ENSG00000104643,MTMR9
P61966,ENSG00000106367,AP1S1
P20849,ENSG00000112280,COL9A1
P22736,ENSG00000123358,NR4A1
Q14978,ENSG00000166197,NOLC1
Q9NZH0,ENSG00000167191,GPRC5B
Q9C0I4,ENSG00000144229,THSD7B
Q9H490,ENSG00000101464,PIGU
Q9UKT5,ENSG00000151876,FBXO4
Q629K1,ENSG00000205133,TRIQK
P01743,ENSG00000211962,IGHV1-46
P49757,ENSG00000133961,NUMB
Q8IVA1,ENSG00000174788,PCP2
Q96A26,ENSG00000114023,FAM162A
Q7Z2V1,ENSG00000234186,C16orf82
Q3MIX3,ENSG00000173137,ADCK5
Q6UX27,ENSG00000189068,VSTM1
Q99618,ENSG00000111665,CDCA3
Q9NXH8,ENSG00000198113,TOR4A
Q8N9N2,ENSG00000138303,ASCC1
Q16612,ENSG00000134986,NREP
Q8TD35,ENSG00000171695,LKAAEAR1
Q8N7C7,ENSG00000235631,RNF148
Q8IUE0,ENSG00000176679,TGIF2LY
O95786,ENSG00000107201,DDX58
Q8NHR9,ENSG00000176732,PFN4
Q9H4Q3,ENSG00000112238,PRDM13
P09912,ENSG00000126709,IFI6
Q9BSV6,ENSG00000278605,TSEN34
P23610,ENSG00000277150,F8A3
Q8N801,ENSG00000239605,C2orf61
Q5SWA1,ENSG00000158615,PPP1R15B
Q9Y4G8,ENSG00000109756,RAPGEF2
P01286,ENSG00000118702,GHRH
Q7Z6G3,ENSG00000103154,NECAB2
Q9UN79,ENSG00000143842,SOX13
Q9UIR0,ENSG00000225845,BTNL2
O75293,ENSG00000099860,GADD45B
Q5D1E8,ENSG00000163874,ZC3H12A
Q8IVL5,ENSG00000090530,P3H2
Q8IVH2,ENSG00000137166,FOXP4
Q9H875,ENSG00000128563,PRKRIP1
Q9H8M5,ENSG00000148842,CNNM2
A0JNW5,ENSG00000111647,UHRF1BP1L
P40763,ENSG00000168610,STAT3
Q9NQ66,ENSG00000182621,PLCB1
P09012,ENSG00000077312,SNRPA
Q96L21,ENSG00000165496,RPL10L
Q96MS3,ENSG00000151948,GLT1D1
O60231,ENSG00000226171,DHX16
Q6GPH4,ENSG00000132530,XAF1
P57678,ENSG00000179409,GEMIN4
Q9H0Q3,ENSG00000137726,FXYD6
