id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
CPI-SS00FB3CB09,O15552,Q8NHW4,FFAR2_HUMAN,CC4L_HUMAN,"IMEx,IntAct",
CPI-SS0110361CB,P01374,Q92956,TNFB_HUMAN,TNR14_HUMAN,curated,uniprot
CPI-SS0111AAD26,P29323,P98172,EPHB2_HUMAN,EFNB1_HUMAN,curated,PMID: 15114347
CPI-SS01158CABF,O15552,Q92520,FFAR2_HUMAN,FAM3C_HUMAN,"IMEx,IntAct",
CPI-SS012AFC842,P21741,Q9UM73,MK_HUMAN,ALK_HUMAN,curated,uniprot
CPI-SS012B216F6,P12272,P49190,PTHR_HUMAN,PTH2R_HUMAN,guidetopharmacology.org,
CPI-SS012B7C21D,P46531,Q9NR61,NOTC1_HUMAN,DLL4_HUMAN,curated,PMID: 22353464
CPI-SS012CCE326,P29322,P52803,EPHA8_HUMAN,EFNA5_HUMAN,curated,PMID: 15114347
CPI-SS0133239EA,P18509,P41586,PACA_HUMAN,PACR_HUMAN,"I2D,IMEx",
CPI-SS013E86AFF,P08620,P22607,FGF4_HUMAN,FGFR3_HUMAN,I2D,
CPI-SS01442BDB7,Q8WXD0,Q8WXF3,RXFP2_HUMAN,REL3_HUMAN,guidetopharmacology.org,
CPI-SS01469637C,Q93097,Q9ULV1,WNT2B_HUMAN,FZD4_HUMAN,curated,PMID: 24032637
CPI-SS0148BDF1C,Q5H8A3,Q9HB89,NMS_HUMAN,NMUR1_HUMAN,guidetopharmacology.org,
CPI-SS014958F32,O00182,Q08722,LEG9_HUMAN,CD47_HUMAN,InnateDB-All,
CPI-SS014B0FCD2,P04628,Q9NPG1,WNT1_HUMAN,FZD3_HUMAN,I2D,
CPI-SS014BDDB65,O43193,P12872,MTLR_HUMAN,MOTI_HUMAN,I2D,
CPI-SS014E486AB,P10767,P11362,FGF6_HUMAN,FGFR1_HUMAN,"I2D,InnateDB-All",
CPI-SS01560CA22,P14209,Q9UKJ1,CD99_HUMAN,PILRA_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/18234675
CPI-SS015819E65,P05230,P22607,FGF1_HUMAN,FGFR3_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS015B2F961,P01258,P30988,CALC_HUMAN,CALCR_HUMAN,guidetopharmacology.org,
CPI-SS015E1E2C6,P16109,P28906,LYAM3_HUMAN,CD34_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/18606703
CPI-SS016B111FE,P01344,Q8TDT2,IGF2_HUMAN,GP152_HUMAN,"IMEx,IntAct",
CPI-SS016B7C7D6,P12643,Q99835,BMP2_HUMAN,SMO_HUMAN,I2D,
CPI-SS016EE0084,Q15116,Q9NZQ7,PDCD1_HUMAN,PD1L1_HUMAN,curated,antigen-stimulated T cells become anergic. PMID: 23954143
CPI-SS0178F5C45,P61812,Q03167,TGFB2_HUMAN,TGBR3_HUMAN,curated,uniprot
CPI-SS0179FBFD3,O00220,P50591,TR10A_HUMAN,TNF10_HUMAN,curated,uniprot
CPI-SS0186F8AED,P41273,Q14627,TNFL9_HUMAN,I13R2_HUMAN,InnateDB-All,
CPI-SS018B35889,P09681,P27487,GIP_HUMAN,DPP4_HUMAN,"InnateDB-All,MINT",
CPI-SS018BD4882,P48645,Q9HB89,NMU_HUMAN,NMUR1_HUMAN,guidetopharmacology.org,
CPI-SS018FB4D9F,P04090,Q8WXD0,REL2_HUMAN,RXFP2_HUMAN,guidetopharmacology.org,
CPI-SS019104E2E,Q6UXX9,Q9HBX8,RSPO2_HUMAN,LGR6_HUMAN,guidetopharmacology.org,
CPI-SS0193C3064,P04628,Q9H461,WNT1_HUMAN,FZD8_HUMAN,"I2D,InnateDB-All",
CPI-SS01946BE5C,P21730,P39019,C5AR1_HUMAN,RS19_HUMAN,guidetopharmacology.org,
CPI-SS01963C4CA,P01266,P07306,THYG_HUMAN,ASGR1_HUMAN,I2D,
CPI-SS019C98396,O43557,Q92956,TNF14_HUMAN,TNR14_HUMAN,curated,uniprot
CPI-SS01A07768A,P15529,P78504,MCP_HUMAN,JAG1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/23086448
CPI-SS01A29DD97,P01275,P14735,GLUC_HUMAN,IDE_HUMAN,IMEx,
CPI-SS01A6823FA,P02776,P49682,PLF4_HUMAN,CXCR3_HUMAN,curated,PMID: 24218476
CPI-SS01A761DB5,P48146,Q8NG41,NPBW2_HUMAN,NPB_HUMAN,guidetopharmacology.org,
CPI-SS01A8F745A,P21709,P52797,EPHA1_HUMAN,EFNA3_HUMAN,curated,PMID: 15114347
CPI-SS01AD399A0,P05112,Q14627,IL4_HUMAN,I13R2_HUMAN,I2D,
CPI-SS01BCB9360,P13591,P23560,NCAM1_HUMAN,BDNF_HUMAN,I2D,
CPI-SS01C2BA5C8,P41221,Q14332,WNT5A_HUMAN,FZD2_HUMAN,curated,PMID: 24032637
CPI-SS01CE67526,Q8TCW9,Q9HC23,PKR1_HUMAN,PROK2_HUMAN,guidetopharmacology.org,
CPI-SS01D785DBA,P21802,Q9GZV9,FGFR2_HUMAN,FGF23_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS01DCC7684,O43921,Q15375,EFNA2_HUMAN,EPHA7_HUMAN,curated,PMID: 15114347
CPI-SS01E0F2D2C,Q15223,Q96NY8,PVRL1_HUMAN,PVRL4_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/22902367
CPI-SS01E3453DB,Q6UXX9,Q9BXB1,RSPO2_HUMAN,LGR4_HUMAN,guidetopharmacology.org,
CPI-SS01ECFDA18,O14798,P50591,TR10C_HUMAN,TNF10_HUMAN,curated,uniprot
CPI-SS01F67987A,P09038,P11362,FGF2_HUMAN,FGFR1_HUMAN,curated,uniprot
CPI-SS01F908B16,P04155,Q96PJ5,TFF1_HUMAN,FCRL4_HUMAN,"IMEx,InnateDB-All,IntAct",
CPI-SS021F26C73,P09683,P47872,SECR_HUMAN,SCTR_HUMAN,guidetopharmacology.org,
CPI-SS02246DA17,P49682,Q07325,CXCR3_HUMAN,CXCL9_HUMAN,curated,PMID: 24218476
CPI-SS022AE18AF,O15529,Q8NHW4,GPR42_HUMAN,CC4L_HUMAN,"IMEx,IntAct",
CPI-SS0230EE330,P01160,P20594,ANF_HUMAN,ANPRB_HUMAN,"I2D,InnateDB-All",
CPI-SS0231B999D,P25092,Q16661,GUC2C_HUMAN,GUC2B_HUMAN,guidetopharmacology.org,
CPI-SS02371A6D6,P15692,P29323,VEGFA_HUMAN,EPHB2_HUMAN,I2D,
CPI-SS023738D54,P11362,P11487,FGFR1_HUMAN,FGF3_HUMAN,"I2D,InnateDB-All",
CPI-SS023ABAE18,P47992,Q8WXG9,XCL1_HUMAN,GPR98_HUMAN,InnateDB-All,
CPI-SS023D39112,P16860,P17342,ANFB_HUMAN,ANPRC_HUMAN,"I2D,InnateDB-All",
CPI-SS0241A1F57,O60462,Q99985,NRP2_HUMAN,SEM3C_HUMAN,curated,uniprot
CPI-SS02461AE98,O43612,O43614,OREX_HUMAN,OX2R_HUMAN,guidetopharmacology.org,
CPI-SS024E1CF41,P31391,P61278,SSR4_HUMAN,SMS_HUMAN,I2D,
CPI-SS02572E1EF,Q02297,Q9BXB1,NRG1_HUMAN,LGR4_HUMAN,InnateDB-All,
CPI-SS025C8F785,Q92478,Q9NZS2,CLC2B_HUMAN,KLRF1_HUMAN,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577
CPI-SS025CAD24A,O95393,P43628,BMP10_HUMAN,KI2L3_HUMAN,"IMEx,IntAct",
CPI-SS0261EA048,P56704,Q14332,WNT3A_HUMAN,FZD2_HUMAN,InnateDB-All,
CPI-SS026776C89,HLADQB2,P01236,HLADQB2,PRL_HUMAN,InnateDB-All,
CPI-SS0268D47AD,P13236,Q8TDT2,CCL4_HUMAN,GP152_HUMAN,"IMEx,IntAct",
CPI-SS0270A2CA9,P0C0P6,Q6W5P4,NPS_HUMAN,NPSR1_HUMAN,guidetopharmacology.org,
CPI-SS0273C9AED,P35968,P49767,VGFR2_HUMAN,VEGFC_HUMAN,curated,uniprot
CPI-SS027556893,P01562,P20023,IFNA1_HUMAN,CR2_HUMAN,"I2D,InnateDB,InnateDB-All",
CPI-SS02770D68F,Q04721,Q9Y219,NOTC2_HUMAN,JAG2_HUMAN,curated,PMID: 22353464
CPI-SS027AFFC0E,O14931,P46379,NCTR3_HUMAN,BAG6_HUMAN,curated,activating interaction from uniprot
CPI-SS027CDEA08,Q04721,Q9NR61,NOTC2_HUMAN,DLL4_HUMAN,curated,PMID: 22353464
CPI-SS027E12A36,P21741,P23471,MK_HUMAN,PTPRZ_HUMAN,curated,PMID: 10212223
CPI-SS027E57635,Q8NFJ6,Q9HC23,PKR2_HUMAN,PROK2_HUMAN,guidetopharmacology.org,
CPI-SS0281839F1,Q9NZH6,Q9NZN1,IL37_HUMAN,IRPL1_HUMAN,InnateDB,
CPI-SS028688B7B,P52803,Q15375,EFNA5_HUMAN,EPHA7_HUMAN,curated,PMID: 15114347
CPI-SS028784FC6,HLADPA1,P41273,HLADPA1,TNFL9_HUMAN,InnateDB-All,
CPI-SS0288E42FB,P25024,P80162,CXCR1_HUMAN,CXCL6_HUMAN,curated,PMID: 24218476
CPI-SS02896561C,P08620,P22455,FGF4_HUMAN,FGFR4_HUMAN,I2D,
CPI-SS02904BE32,P23416,Q92520,GLRA2_HUMAN,FAM3C_HUMAN,InnateDB-All,
CPI-SS02928C71A,P01127,Q07954,PDGFB_HUMAN,LRP1_HUMAN,"I2D,InnateDB-All",
CPI-SS029B74C35,P20382,Q969V1,MCH_HUMAN,MCHR2_HUMAN,I2D,
CPI-SS029C6E8FA,O95150,O95407,TNF15_HUMAN,TNF6B_HUMAN,curated,uniprot
CPI-SS02A0FF87F,Q92520,Q9UHP7,FAM3C_HUMAN,CLC2D_HUMAN,"IMEx,InnateDB-All,IntAct",
CPI-SS02A170A99,P16150,Q9BZZ2,LEUK_HUMAN,SN_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/11238599
CPI-SS02AB0C3E0,P10451,P16070,OSTP_HUMAN,CD44_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS02ACCF1F7,P14174,Q92956,MIF_HUMAN,TNR14_HUMAN,"I2D,IntAct",
CPI-SS02AFCED82,P29317,P52803,EPHA2_HUMAN,EFNA5_HUMAN,curated,PMID: 15114347
CPI-SS02B285B4D,P29322,P52798,EPHA8_HUMAN,EFNA4_HUMAN,curated,PMID: 15114347
CPI-SS02B567BC7,O60486,O75326,PLXC1_HUMAN,SEM7A_HUMAN,curated,PMID: 22325954
CPI-SS02B7540B0,P16109,Q14242,LYAM3_HUMAN,SELPL_HUMAN,curated,"https://www.ncbi.nlm.nih.gov/pubmed/19118202,https://www.ncbi.nlm.nih.gov/pubmed/9829984,https://www.ncbi.nlm.nih.gov/pubmed/12393589"
CPI-SS02C0BCFFE,P16471,Q14406,PRLR_HUMAN,CSHL_HUMAN,guidetopharmacology.org,
CPI-SS02C29C238,P22607,Q15223,FGFR3_HUMAN,PVRL1_HUMAN,InnateDB-All,
CPI-SS02C418D99,P09544,Q14332,WNT2_HUMAN,FZD2_HUMAN,curated,PMID: 24032637
CPI-SS02CCE14A7,P18509,P41587,PACA_HUMAN,VIPR2_HUMAN,I2D,
CPI-SS02CF96625,P43628,Q92520,KI2L3_HUMAN,FAM3C_HUMAN,"IMEx,IntAct",
CPI-SS02D18D12B,Q8N126,Q8NFZ8,CADM3_HUMAN,CADM4_HUMAN,curated,uniprot
CPI-SS02D4E44C7,P01185,P47901,NEU2_HUMAN,V1BR_HUMAN,I2D,
CPI-SS02D7A1DDE,P10721,P21583,KIT_HUMAN,SCF_HUMAN,curated,uniprot
CPI-SS02E314589,P21802,Q15223,FGFR2_HUMAN,PVRL1_HUMAN,InnateDB-All,
CPI-SS02EBC1BB0,P01375,P46531,TNFA_HUMAN,NOTC1_HUMAN,I2D,
CPI-SS02EDE5894,Q13324,Q969E3,CRFR2_HUMAN,UCN3_HUMAN,guidetopharmacology.org,
CPI-SS02EF37382,Q8WXF3,Q9NSD7,REL3_HUMAN,RL3R1_HUMAN,guidetopharmacology.org,
CPI-SS02EF3E1BA,O43508,Q9NP84,TNF12_HUMAN,TNR12_HUMAN,curated,uniprot
CPI-SS02FBD007E,Q92692,Q9NQS3,PVRL2_HUMAN,PVRL3_HUMAN,curated,"https://www.ncbi.nlm.nih.gov/pubmed/19011627,https://www.ncbi.nlm.nih.gov/pubmed/12740392/"
CPI-SS02FEAF02E,P12034,P21802,FGF5_HUMAN,FGFR2_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS0302E8E8F,P04233,P53621,HG2A_HUMAN,COPA_HUMAN,"IMEx,IntAct",
CPI-SS03098AC28,Q15303,Q99075,ERBB4_HUMAN,HBEGF_HUMAN,curated,uniprot
CPI-SS030BB46BB,P04083,P25090,ANXA1_HUMAN,FPR2_HUMAN,curated,PMID: 22610094
CPI-SS030EDC420,O00144,O00755,FZD9_HUMAN,WNT7A_HUMAN,I2D,
CPI-SS03105D292,P09603,P30825,CSF1_HUMAN,CTR1_HUMAN,I2D,
CPI-SS03133B4F2,P02786,Q9Y275,TFR1_HUMAN,TN13B_HUMAN,"IMEx,IntAct",
CPI-SS03156A825,P01374,P36941,TNFB_HUMAN,TNR3_HUMAN,I2D,
CPI-SS0315F51DD,P10145,P25025,IL8_HUMAN,CXCR2_HUMAN,curated,PMID: 24218476
CPI-SS03165AD8C,O00590,P13500,ACKR2_HUMAN,CCL2_HUMAN,curated,PMID: 24218476
CPI-SS03188FD02,P51685,P55774,CCR8_HUMAN,CCL18_HUMAN,curated,PMID: 24218476
CPI-SS03189F5F6,O15520,P11362,FGF10_HUMAN,FGFR1_HUMAN,InnateDB-All,
CPI-SS031E35270,Q8WXF3,Q9HBX9,REL3_HUMAN,RXFP1_HUMAN,guidetopharmacology.org,
CPI-SS0320FFAFC,P16410,P33681,CTLA4_HUMAN,CD80_HUMAN,curated,antigen-stimulated T cells become anergic. Reviewed in PMID: 23954143
CPI-SS0322747C2,P06731,P40199,CEAM5_HUMAN,CEAM6_HUMAN,curated,uniprot
CPI-SS0323A2952,P01308,Q8N423,INS_HUMAN,LIRB2_HUMAN,"IMEx,IntAct",
CPI-SS0327E1782,Q6UXB1,Q9H665,IGFL3_HUMAN,IGFR1_HUMAN,"IMEx,InnateDB-All,UniProt",
CPI-SS032AD1183,P01160,P16066,ANF_HUMAN,ANPRA_HUMAN,guidetopharmacology.org,
CPI-SS032CFAE42,P30988,Q7Z4H4,CALCR_HUMAN,ADM2_HUMAN,guidetopharmacology.org,
CPI-SS032E9A219,P49238,P78423,CX3C1_HUMAN,X3CL1_HUMAN,curated,PMID: 24218476
CPI-SS0330D939A,O60258,P21802,FGF17_HUMAN,FGFR2_HUMAN,"I2D,InnateDB-All",
CPI-SS033180726,P01215,P22888,GLHA_HUMAN,LSHR_HUMAN,"I2D,InnateDB-All",
CPI-SS0331C5A49,O95390,Q9H6X2,GDF11_HUMAN,ANTR1_HUMAN,InnateDB-All,
CPI-SS03339363E,P13747,P26718,HLAE_HUMAN,NKG2D_HUMAN,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577
CPI-SS0339AE950,P78324,Q08722,SHPS1_HUMAN,CD47_HUMAN,curated,Reviewed in PMID: 23602662
CPI-SS033A27302,O00292,P13385,LFTY2_HUMAN,TDGF1_HUMAN,curated,PMID: 22710174
CPI-SS033C67295,O95399,Q9UKP6,UTS2_HUMAN,UR2R_HUMAN,guidetopharmacology.org,
CPI-SS033CB0BB2,P78310,Q92520,CXAR_HUMAN,FAM3C_HUMAN,"IMEx,IntAct",
CPI-SS033E6DE7E,O14786,P49765,NRP1_HUMAN,VEGFB_HUMAN,curated,uniprot
CPI-SS033E857EB,Q6UX27,Q86Y34,VSTM1_HUMAN,AGRG3_HUMAN,"IMEx,IntAct",
CPI-SS0348B76E5,O15467,P32246,CCL16_HUMAN,CCR1_HUMAN,curated,PMID: 24218476
CPI-SS0348DB5E3,P11362,P21802,FGFR1_HUMAN,FGFR2_HUMAN,InnateDB-All,
CPI-SS034B442CE,P01375,Q9HCU4,TNFA_HUMAN,CELR2_HUMAN,InnateDB-All,
CPI-SS034C2FBA9,O00253,P41968,AGRP_HUMAN,MC3R_HUMAN,guidetopharmacology.org,
CPI-SS034D36D2F,HLAC,Q92520,HLAC,FAM3C_HUMAN,InnateDB-All,
CPI-SS034D3988F,Q2I0M5,Q9BXB1,RSPO4_HUMAN,LGR4_HUMAN,guidetopharmacology.org,
CPI-SS035A3ADDF,P01225,P23945,FSHB_HUMAN,FSHR_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS035E5A708,Q9NYJ7,Q9UM47,DLL3_HUMAN,NOTC3_HUMAN,curated,PMID: 22353464
CPI-SS0362EFFDE,P20382,Q99705,MCH_HUMAN,MCHR1_HUMAN,I2D,
CPI-SS036437279,Q02413,Q02487,DSG1_HUMAN,DSC2_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/27298358
CPI-SS03722104E,P14210,P16070,HGF_HUMAN,CD44_HUMAN,"IMEx,InnateDB-All,IntAct",
CPI-SS037E6BEDF,P20827,P29322,EFNA1_HUMAN,EPHA8_HUMAN,curated,PMID: 15114347
CPI-SS03821C2C6,P02776,Q16570,PLF4_HUMAN,ACKR1_HUMAN,"I2D,InnateDB",
CPI-SS03859E16F,Q495A1,Q9NQS3,TIGIT_HUMAN,PVRL3_HUMAN,curated,PMID: 1313846
CPI-SS038E93B77,P11362,P31371,FGFR1_HUMAN,FGF9_HUMAN,"I2D,InnateDB-All",
CPI-SS0391D4602,P04629,P43490,NTRK1_HUMAN,NAMPT_HUMAN,InnateDB-All,
CPI-SS039799099,P11362,P13591,FGFR1_HUMAN,NCAM1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/12791257
CPI-SS039863E62,O15444,P51686,CCL25_HUMAN,CCR9_HUMAN,curated,PMID: 24218476
CPI-SS03A0C857B,P25445,P48023,TNR6_HUMAN,TNFL6_HUMAN,curated,uniprot
CPI-SS03A2EFDD5,P21709,P52803,EPHA1_HUMAN,EFNA5_HUMAN,curated,PMID: 15114347
CPI-SS03A3EE72E,P35916,Q9NRA1,VGFR3_HUMAN,PDGFC_HUMAN,guidetopharmacology.org,
CPI-SS03A4F7DC8,P30530,Q14393,UFO_HUMAN,GAS6_HUMAN,guidetopharmacology.org,
CPI-SS03A875239,O15467,P51685,CCL16_HUMAN,CCR8_HUMAN,I2D,
CPI-SS03B8E2D7A,P01375,Q9Y6W8,TNFA_HUMAN,ICOS_HUMAN,InnateDB-All,
CPI-SS03C51D352,O14836,Q9Y275,TR13B_HUMAN,TN13B_HUMAN,curated,uniprot
CPI-SS03CC15FF3,P16234,Q9NRA1,PGFRA_HUMAN,PDGFC_HUMAN,curated,uniprot
CPI-SS03D887978,Q86WN2,Q8WXG9,IFNE_HUMAN,GPR98_HUMAN,InnateDB-All,
CPI-SS03DA2A820,P09038,P16070,FGF2_HUMAN,CD44_HUMAN,"I2D,InnateDB-All",
CPI-SS03E273233,P29274,P49961,AA2AR_HUMAN,ENTP1_HUMAN,curated,uniprot
CPI-SS03E450F99,P20827,Q15375,EFNA1_HUMAN,EPHA7_HUMAN,curated,PMID: 15114347
CPI-SS03E48EFEA,P01024,Q16581,CO3_HUMAN,C3AR_HUMAN,guidetopharmacology.org,
CPI-SS03E7587E4,P30542,P49961,AA1R_HUMAN,ENTP1_HUMAN,curated,uniprot
CPI-SS03EACE0E0,P26927,Q04912,HGFL_HUMAN,RON_HUMAN,curated,PMID: 23792360
CPI-SS03EF699C7,P13747,P26715,HLAE_HUMAN,NKG2A_HUMAN,curated,Induces NK Cell Inhibition. Reviewed in PMID: 24223577
CPI-SS03F0B666C,P23560,Q9Y624,BDNF_HUMAN,JAM1_HUMAN,"IMEx,InnateDB-All,IntAct",
CPI-SS03F821467,P40200,Q15223,TACT_HUMAN,PVRL1_HUMAN,curated,PMID: 17971293
CPI-SS03FA58286,P01375,Q9H7M9,TNFA_HUMAN,GI24_HUMAN,"IMEx,IntAct",
CPI-SS040630206,P19875,P25024,CXCL2_HUMAN,CXCR1_HUMAN,I2D,
CPI-SS04124F4E1,P01588,P52799,EPO_HUMAN,EFNB2_HUMAN,"IMEx,IntAct",
CPI-SS0412C803A,P28908,P32971,TNR8_HUMAN,TNFL8_HUMAN,curated,uniprot
CPI-SS0415CC75D,Q12866,Q14393,MERTK_HUMAN,GAS6_HUMAN,guidetopharmacology.org,
CPI-SS041751A4D,P32246,P55774,CCR1_HUMAN,CCL18_HUMAN,guidetopharmacology.org,
CPI-SS041888D39,P29320,P52798,EPHA3_HUMAN,EFNA4_HUMAN,curated,PMID: 15114347
CPI-SS0419B80C4,O00182,Q07954,LEG9_HUMAN,LRP1_HUMAN,InnateDB-All,
CPI-SS0423580E5,O00548,Q04721,DLL1_HUMAN,NOTC2_HUMAN,curated,PMID: 22353464
CPI-SS04293B7DA,P30511,Q14943,HLAF_HUMAN,KI3S1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/27455421
CPI-SS04297753E,P10451,P51685,OSTP_HUMAN,CCR8_HUMAN,"IMEx,MINT",
CPI-SS042A6F835,P01344,P11717,IGF2_HUMAN,MPRI_HUMAN,curated,uniprot
CPI-SS042EB8C7A,P21731,Q9UBU3,TA2R_HUMAN,GHRL_HUMAN,InnateDB-All,
CPI-SS04318D03E,O00590,P10147,ACKR2_HUMAN,CCL3_HUMAN,curated,PMID: 24218476
CPI-SS0431D2256,P41273,Q07011,TNFL9_HUMAN,TNR9_HUMAN,curated,uniprot
CPI-SS043E0F61D,P43115,Q9UBU3,PE2R3_HUMAN,GHRL_HUMAN,InnateDB-All,
CPI-SS04456F441,P23510,P43489,TNFL4_HUMAN,TNR4_HUMAN,curated,uniprot
CPI-SS0445D021B,P10082,Q15761,PYY_HUMAN,NPY5R_HUMAN,I2D,
CPI-SS04465565A,P58294,Q8NFJ6,PROK1_HUMAN,PKR2_HUMAN,guidetopharmacology.org,
CPI-SS044C72D0D,Q9H3S1,Q9Y4D7,SEM4A_HUMAN,PLXD1_HUMAN,curated,PMID: 22325954
CPI-SS044CF7EAE,O00220,P22455,TR10A_HUMAN,FGFR4_HUMAN,InnateDB-All,
CPI-SS044DF8749,A4D1S0,Q9H1J7,KLRG2_HUMAN,WNT5B_HUMAN,InnateDB-All,
CPI-SS04587A7C5,O15467,Q9H3N8,CCL16_HUMAN,HRH4_HUMAN,guidetopharmacology.org,
CPI-SS045A5FC60,O00590,Q16627,ACKR2_HUMAN,CCL14_HUMAN,curated,PMID: 24218476
CPI-SS045EC4F7D,P04090,Q9HBX9,REL2_HUMAN,RXFP1_HUMAN,guidetopharmacology.org,
CPI-SS04640F9C3,P04155,P21802,TFF1_HUMAN,FGFR2_HUMAN,"IMEx,InnateDB-All,MINT",
CPI-SS04641FE5F,P16619,P27487,CL3L1_HUMAN,DPP4_HUMAN,I2D,
CPI-SS0467AFD8A,O60258,P11362,FGF17_HUMAN,FGFR1_HUMAN,"I2D,InnateDB-All",
CPI-SS046F6F0C1,P20827,P29317,EFNA1_HUMAN,EPHA2_HUMAN,curated,PMID: 15114347
CPI-SS0470AF83E,P54762,P98172,EPHB1_HUMAN,EFNB1_HUMAN,curated,PMID: 15114347
CPI-SS0471FCFF3,P22466,Q8TDV0,GALA_HUMAN,GP151_HUMAN,I2D,
CPI-SS047232C64,O00548,Q9UM47,DLL1_HUMAN,NOTC3_HUMAN,curated,PMID: 22353464
CPI-SS0472C478C,P18075,Q15262,BMP7_HUMAN,PTPRK_HUMAN,InnateDB-All,
CPI-SS047CD2E9F,P41273,Q8IZF4,TNFL9_HUMAN,AGRG5_HUMAN,InnateDB-All,
CPI-SS0481D83A4,P00533,P15514,EGFR_HUMAN,AREG_HUMAN,curated,uniprot
CPI-SS048242083,P30511,P43629,HLAF_HUMAN,KI3L1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/27455421
CPI-SS048346C2B,O00182,Q9UBG0,LEG9_HUMAN,MRC2_HUMAN,InnateDB-All,
CPI-SS0483CE4ED,P12272,Q03431,PTHR_HUMAN,PTH1R_HUMAN,guidetopharmacology.org,
CPI-SS048604E28,P56704,Q9H461,WNT3A_HUMAN,FZD8_HUMAN,"IMEx,IntAct",
CPI-SS04861AD1A,P22455,Q96QR1,FGFR4_HUMAN,SG3A1_HUMAN,"IMEx,InnateDB-All,MINT",
CPI-SS048A2311A,P01375,Q13546,TNFA_HUMAN,RIPK1_HUMAN,"I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT",
CPI-SS04A4A2334,P07307,Q15848,ASGR2_HUMAN,ADIPO_HUMAN,"IMEx,IntAct",
CPI-SS04A5D6B6F,O00548,P46531,DLL1_HUMAN,NOTC1_HUMAN,curated,PMID: 22353464
CPI-SS04A7BCE8D,P01160,P17342,ANF_HUMAN,ANPRC_HUMAN,"I2D,InnateDB-All",
CPI-SS04A8E4200,Q15848,Q8TD46,ADIPO_HUMAN,MO2R1_HUMAN,"IMEx,IntAct",
CPI-SS04A97448D,P05230,P21802,FGF1_HUMAN,FGFR2_HUMAN,"I2D,IMEx,InnateDB-All,IntAct,MINT",
CPI-SS04ACF8F99,P49683,P81277,PRLHR_HUMAN,PRRP_HUMAN,guidetopharmacology.org,
CPI-SS04B4619D0,P01375,P19438,TNFA_HUMAN,TNR1A_HUMAN,curated,uniprot
CPI-SS04B547174,P01178,P30559,NEU1_HUMAN,OXYR_HUMAN,I2D,
CPI-SS04BE14432,P55103,Q13705,INHBC_HUMAN,AVR2B_HUMAN,curated,PMID: 22710174
CPI-SS04C396C5D,O15240,P04629,VGF_HUMAN,NTRK1_HUMAN,InnateDB-All,
CPI-SS04C3EC52C,P49286,P53621,MTR1B_HUMAN,COPA_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS04C672963,Q96AP7,Q96AP7,ESAM_HUMAN,ESAM_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/11279107
CPI-SS04C8BC444,D3W0D1,Q6UVW9,KLRF2_HUMAN,CLC2A_HUMAN,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577
CPI-SS04CD88411,P46091,Q99969,GPR1_HUMAN,RARR2_HUMAN,guidetopharmacology.org,
CPI-SS04E690D72,P21246,P23471,PTN_HUMAN,PTPRZ_HUMAN,curated,PMID: 25644401
CPI-SS04EE957D8,P32246,Q9Y258,CCR1_HUMAN,CCL26_HUMAN,curated,PMID: 24218476
CPI-SS04F3A1E5C,P53621,Q99523,COPA_HUMAN,SORT_HUMAN,"IMEx,InnateDB-All,IntAct,MatrixDB",
CPI-SS04F90EE0D,P16581,Q92896,LYAM2_HUMAN,GSLG1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/11404363/
CPI-SS04FB6F38D,P58294,Q8TCW9,PROK1_HUMAN,PKR1_HUMAN,guidetopharmacology.org,
CPI-SS050123B31,Q9GZQ6,Q9HCQ7,NPFF1_HUMAN,NPVF_HUMAN,guidetopharmacology.org,
CPI-SS05162C56B,P20783,Q16288,NTF3_HUMAN,NTRK3_HUMAN,curated,uniprot
CPI-SS0518D683C,Q15848,Q8NFJ6,ADIPO_HUMAN,PKR2_HUMAN,"IMEx,IntAct",
CPI-SS052127A00,P01138,P04629,NGF_HUMAN,NTRK1_HUMAN,curated,uniprot
CPI-SS0522A6CFA,P35318,Q96LB1,ADML_HUMAN,MRGX2_HUMAN,guidetopharmacology.org,
